index	value
1	14678
2	15158
3	15158
4	15401
5	15163
6	15910
7	16675
8	16437
9	16409
10	16154
11	16154
12	15901
13	15901
14	15926
15	15926
16	15950
17	15941
18	15941
19	15956
20	15949
21	15934
22	15928
23	15928
24	15950
25	16246
26	16006
27	16040
28	16645
29	16530
30	17497
31	17509
32	19189
33	19169
34	19709
35	19457
36	18787
37	19102
38	18081
39	18581
40	16686
41	16694
42	16953
43	17219
44	16958
45	17219
46	17219
47	17214
48	17219
49	17229
50	16973
51	16968
52	15961
53	15958
54	15958
55	16197
56	16452
57	16714
58	16452
59	15961
60	17492
61	17477
62	17482
63	16953
64	16953
65	16434
66	16449
67	16953
68	16953
69	16691
70	16691
71	16964
72	16964
73	16964
74	17225
75	16965
76	16965
77	17214
78	17214
79	16953
80	16953
81	16953
82	17214
83	17214
84	16953
85	16953
86	17226
87	16964
88	16950
89	16950
90	16950
91	16965
92	17211
93	16950
94	16950
95	16949
96	16950
97	16950
98	16691
99	16694
100	16437
101	16442
102	16442
103	16699
104	16694
105	16953
106	16953
107	17214
108	17474
109	17473
110	17210
111	17211
112	17214
113	16667
114	16410
115	16681
116	16429
117	16429
118	16424
119	16434
120	16434
121	16982
122	16981
123	16981
124	16981
125	17226
126	17211
127	17214
128	17229
129	17489
130	17489
131	17214
132	17219
133	17219
134	17214
135	17492
136	17214
137	16958
138	16953
139	16968
140	17229
141	16968
142	17229
143	16958
144	16968
145	16953
146	16953
147	16950
148	16950
149	16950
150	16965
151	16982
152	16965
153	16968
154	16968
155	17246
156	17229
157	17229
158	17229
159	17229
160	17229
161	16973
162	16973
163	16973
164	16709
165	16953
166	16953
167	16953
168	16953
169	17211
170	17211
171	16950
172	16965
173	16965
174	16982
175	16982
176	16982
177	16965
178	16964
179	17226
180	17488
181	17489
182	17489
183	17229
184	17229
185	16968
186	16968
187	16437
188	16437
189	16437
190	16437
191	16437
192	16437
193	16694
194	16953
195	17214
196	17214
197	17214
198	17214
199	17214
200	17477
201	17214
202	17219
203	17214
204	17477
205	17214
206	17214
207	16953
208	16968
209	16985
210	16982
211	16965
212	16709
213	16723
214	16726
215	16709
216	16694
217	16694
218	16709
219	16968
220	16968
221	16953
222	17214
223	17214
224	17214
225	17214
226	16937
227	16937
228	16937
229	16950
230	16950
231	16949
232	16949
233	16949
234	16950
235	16953
236	16950
237	16937
238	16937
239	16940
240	16940
241	17187
242	17211
243	16968
244	16968
245	16968
246	16968
247	16982
248	16985
249	16985
250	16985
251	17229
252	16985
253	16968
254	17246
255	17251
256	16985
257	16985
258	16985
259	16709
260	16953
261	16968
262	16950
263	16949
264	16953
265	17214
266	16950
267	17211
268	16950
269	17211
270	16950
271	16953
272	16950
273	16950
274	17211
275	17214
276	17214
277	17219
278	16958
279	16973
280	16968
281	16953
282	16953
283	16694
284	16437
285	16694
286	16691
287	16691
288	16706
289	16968
290	16985
291	16985
292	16965
293	16965
294	16985
295	16982
296	16965
297	16950
298	16950
299	16953
300	17214
301	17229
302	16953
303	17219
304	17492
305	17492
306	17219
307	17214
308	16953
309	16953
310	17214
311	16953
