index	value
1	17190
2	17190
3	17190
4	16681
5	16940
6	16681
7	17190
8	16940
9	17229
10	17229
11	16973
12	17497
13	17234
14	17219
15	17219
16	17489
17	17729
18	17477
19	17477
20	17477
21	17742
22	17742
23	17211
24	17226
25	17474
26	17210
27	17210
28	17211
29	16691
30	16950
31	17226
32	17229
33	17226
34	17488
35	17753
36	17754
37	17509
38	17492
39	17229
40	17229
41	17229
42	17229
43	17229
44	17214
45	17477
46	17729
47	17729
48	17734
49	17729
50	17742
51	17464
52	17201
53	17214
54	17226
55	17226
56	17214
57	17214
58	17229
59	17492
60	17742
61	17742
62	17742
63	17742
64	17726
65	17461
66	17729
67	17464
68	17726
69	17729
70	17729
71	17477
72	17214
73	17757
74	17489
75	17489
76	17739
77	17489
78	17492
79	17742
80	17729
81	17718
82	17723
83	17729
84	17729
85	17729
86	17477
87	17214
88	17214
89	16940
90	16950
91	17211
92	17226
93	17226
94	17477
95	17477
96	17492
97	17492
98	17754
99	17477
100	17464
101	17464
102	17464
103	17477
104	17729
105	17742
106	17739
107	17739
108	17742
109	17729
110	17726
111	17729
112	17464
113	17464
114	17214
115	17729
116	17464
117	17464
118	17464
119	17469
120	17729
121	17729
122	17729
123	17469
124	17482
125	17482
126	17234
127	17497
128	17497
129	17497
130	17497
131	17757
132	17757
133	17742
134	17742
135	17464
136	17477
137	17477
138	17742
139	17464
140	17477
141	17477
142	17461
143	17726
144	17726
145	17460
146	17473
147	17473
148	17739
149	17473
150	17488
151	17225
152	17225
153	17225
154	17211
155	17226
156	16968
157	16953
158	16953
159	16950
160	17214
161	17214
162	17229
163	17492
164	17477
165	17214
166	17214
167	17214
168	17214
169	17201
170	17201
171	17477
172	17477
173	17742
174	17739
175	17729
176	17757
177	17742
178	18024
179	18014
180	17729
181	17729
182	17729
183	17726
184	17715
185	17725
186	17460
187	17474
188	17473
189	17738
190	17753
191	17753
192	17738
193	17738
194	17738
195	17725
196	17725
197	17461
198	17201
199	17198
200	17461
201	17461
202	17474
203	17488
204	17488
205	17473
206	17488
207	17225
208	17488
209	17225
210	17488
211	17211
212	17489
213	17754
214	17757
215	17757
216	17757
217	17757
218	17492
219	17229
220	17229
221	17229
222	17214
223	17492
224	17229
225	17474
226	17739
227	17739
228	17738
229	17725
230	17725
231	17725
232	17715
233	17726
234	17726
235	17726
236	17726
237	17739
238	17739
239	17757
240	18024
241	18024
242	18009
243	18278
244	18265
245	17996
246	17985
247	17715
248	17450
249	17460
250	17186
251	17198
252	17197
253	16949
254	17210
255	17211
256	17225
257	17211
258	17474
259	17225
260	17226
261	17754
262	17754
263	17757
264	17492
265	17492
266	17489
267	17477
268	17474
269	17214
270	17214
271	17214
272	17214
273	17214
274	17214
275	17229
276	17214
277	17229
278	17226
279	17211
280	17229
281	17477
282	17477
283	17739
