index	value	flag
1	18502	0
2	17009	0
3	17461	0
4	17876	0
5	17974	0
6	17132	0
7	17795	0
8	17026	0
9	16914	0
10	17057	0
11	16926	0
12	17258	0
13	17226	0
14	16561	0
15	18082	0
16	16664	0
17	22101	0
18	17706	0
19	18050	0
20	16337	0
21	16004	0
22	16934	0
23	19046	0
24	17499	0
25	17229	0
26	17451	0
27	16728	0
28	16926	0
29	13629	0
30	16494	0
31	16725	0
32	16664	0
33	16733	0
34	16166	0
35	13958	0
36	16728	0
37	17570	0
38	16763	0
39	17056	0
40	17302	0
41	17435	0
42	17258	0
43	17850	0
44	17498	0
45	17357	0
46	17464	0
47	17859	0
48	17206	0
49	17198	0
50	16602	0
51	17499	0
52	17065	0
53	16691	0
54	17099	0
55	17091	0
56	17229	0
57	16890	0
58	18595	0
59	22358	0
60	17334	0
61	17371	0
62	17771	0
63	17666	0
64	16749	0
65	17129	0
66	18251	0
67	17523	0
68	17405	0
69	17750	0
70	16728	0
71	14714	0
72	16174	0
73	16690	0
74	17060	0
75	17091	0
76	17294	0
77	16085	0
78	17630	0
79	18216	0
80	16493	0
81	16893	0
82	16332	0
83	17578	0
84	16725	0
85	17115	0
86	16858	0
87	17060	0
88	17226	0
89	18182	0
90	16725	0
91	17498	0
92	15450	0
93	17633	0
94	17128	0
95	17229	0
96	17072	0
97	17137	0
98	17266	0
99	17464	0
100	17065	0
101	17578	0
102	16250	0
103	16669	0
104	17400	0
105	17598	0
106	16854	0
107	16605	0
108	16733	0
109	16766	0
110	17027	0
111	18187	0
112	19016	0
113	18387	0
114	16409	0
115	16328	0
116	16329	0
117	17060	0
118	17137	0
119	17129	0
120	18394	0
121	17092	0
122	16829	0
123	17241	0
124	16685	0
125	17229	0
126	17258	0
127	17174	0
128	17058	0
129	17051	0
130	16898	0
131	16929	0
132	17378	0
133	17137	0
134	16329	0
135	17334	0
136	16493	0
137	17182	0
138	16400	0
139	17758	0
140	17226	0
141	17461	0
142	18306	0
143	17297	0
144	17129	0
145	18251	0
146	18354	0
147	17838	0
148	17745	0
149	16830	0
150	17771	0
151	16570	0
152	17915	0
153	17226	0
154	16725	0
155	17072	0
156	16833	0
157	17674	0
158	17349	0
159	16771	0
160	17129	0
161	16661	0
162	16561	0
163	17626	0
164	16858	0
165	17226	0
166	16337	0
167	17540	0
168	16285	0
169	16605	0
170	18251	0
171	18386	0
172	14979	0
173	16401	0
174	17226	0
175	17334	0
176	16829	0
177	16332	0
178	17035	0
179	16934	0
180	17129	0
181	17464	0
182	17507	0
183	17226	0
184	17177	0
185	17674	0
186	17225	0
187	16838	0
188	17010	0
189	17765	0
190	17000	0
191	17838	0
192	17630	0
193	17099	0
194	18149	0
195	16366	0
196	17674	0
197	17665	0
198	16494	0
199	16926	0
200	17498	0
201	16329	0
202	17090	0
203	15915	0
204	16005	0
205	16990	0
206	19107	0
207	17229	0
208	17226	0
209	17174	0
210	15979	0
211	18011	0
212	16926	0
213	17499	0
214	17427	0
215	16724	0
216	17645	0
217	16966	0
218	17297	0
219	18683	0
220	17261	0
221	17809	0
222	17337	0
223	16602	0
224	17027	0
225	18042	0
226	16728	0
227	17749	0
228	16890	0
229	16661	0
230	17779	0
231	17091	0
232	17834	0
233	17099	0
234	17358	0
235	16833	0
236	18254	0
237	17633	0
238	17753	0
239	17334	0
240	17395	0
241	17226	0
242	18389	0
243	17057	0
244	17666	0
245	16898	0
246	16813	0
247	18430	0
248	17060	0
249	16562	0
250	16445	0
251	17587	0
252	16763	0
253	16085	0
254	16733	0
255	18006	0
256	18187	0
257	17881	0
258	17930	0
259	18179	0
260	17461	0
261	17923	0
262	16763	0
263	17758	0
264	17709	0
265	17598	0
266	17654	0
267	17198	0
268	17198	0
269	17171	0
270	17666	0
271	16865	0
272	18187	0
273	17496	0
274	17541	0
275	17057	0
276	17595	0
277	17297	0
278	16725	0
279	16830	0
280	17129	0
281	16134	0
282	17569	0
283	16610	0
284	17570	0
285	17234	0
286	17499	0
287	17234	0
288	18050	0
289	17342	0
290	17714	0
291	17722	0
292	17030	0
293	16926	0
294	17621	0
295	16242	0
296	18041	0
297	16858	0
298	18925	0
299	16740	0
300	17060	0
301	17129	0
302	16733	0
303	16725	0
304	16725	0
305	17030	0
306	17273	0
307	16733	0
308	17598	0
309	17915	0
310	16890	0
311	17507	0
312	16526	0
313	18091	0
314	16449	0
315	17129	0
316	17754	0
317	17918	0
318	12804	0
319	17030	0
320	17226	0
321	16699	0
322	16201	0
323	17523	0
324	17132	0
325	17731	0
326	17334	0
327	16740	0
328	17750	0
329	17570	0
330	16890	0
331	16602	0
332	17749	0
333	17225	0
334	17750	0
335	17430	0
336	16830	0
337	17065	0
338	17598	0
339	17834	0
340	17294	0
341	17915	0
342	17186	0
343	15899	0
344	17795	0
345	16298	0
346	17297	0
347	16890	0
348	16926	0
349	16725	0
350	17337	0
351	16013	0
352	17502	0
353	16857	0
354	17835	0
355	17129	0
356	18045	0
357	18421	0
358	18131	0
359	17442	0
360	17838	0
361	17496	0
362	17293	0
363	17010	0
364	17057	0
365	17334	0
366	17709	0
367	16344	0
368	17594	0
369	18950	0
370	18221	0
371	17241	0
372	17843	0
373	17835	0
374	17342	0
375	16643	0
376	16733	0
377	18578	0
378	17065	0
379	17630	0
380	17334	0
381	17065	0
382	17534	0
383	16329	0
384	17629	0
385	17170	0
386	16830	0
387	17258	0
388	17427	0
389	17666	0
390	18006	0
391	16299	0
392	17342	0
393	17870	0
394	17412	0
395	17461	0
396	17010	0
397	16890	0
398	17804	0
399	17930	0
400	17091	0
401	16525	0
402	17435	0
403	20970	0
404	15793	0
405	17057	0
406	17838	0
407	17358	0
408	17714	0
409	17010	0
410	16725	0
411	17171	0
412	17267	0
413	16725	0
414	17333	0
415	17669	0
416	17835	0
417	16337	0
418	16610	0
419	17918	0
420	17435	0
421	17060	0
422	16013	0
423	17427	0
424	17514	0
425	16626	0
426	17629	0
427	17469	0
428	17342	0
429	17427	0
430	16725	0
431	17771	0
432	17379	0
433	18228	0
434	16898	0
435	18357	0
436	17838	0
437	17412	0
438	16328	0
439	17132	0
440	17427	0
441	16929	0
442	16502	0
443	16190	0
444	17541	0
445	17801	0
446	17266	0
447	17298	0
448	17758	0
449	17293	0
450	17674	0
451	17056	0
452	17177	0
453	17870	0
454	16699	0
455	16669	0
456	16929	0
457	18050	0
458	16474	0
459	16889	0
460	17750	0
461	16526	0
462	17859	0
463	17595	0
464	17546	0
465	18014	0
466	17460	0
467	17611	0
468	17573	0
469	17226	0
470	16401	0
471	16400	0
472	17334	0
473	17333	0
474	17597	0
475	17234	0
476	16362	0
477	16562	0
478	18131	0
479	18354	0
480	17129	0
481	16691	0
482	20691	0
483	16806	0
484	17633	0
485	17547	0
486	16725	0
487	16962	0
488	17915	0
489	17750	0
490	16830	0
491	17397	0
492	17297	0
493	17329	0
494	18461	0
495	16762	0
496	16898	0
497	17630	0
498	16905	0
499	16466	0
500	16926	0
501	17400	0
502	17342	0
503	16387	0
504	17062	0
505	17018	0
506	17801	0
507	17442	0
508	16726	0
509	17091	0
510	17570	0
511	17485	0
512	18251	0
513	16724	0
514	16898	0
515	18021	0
516	16733	0
517	17982	0
518	15706	0
519	16250	0
520	17549	0
521	17630	0
522	17397	0
523	17234	0
524	16366	0
525	16830	0
526	17843	0
527	16830	0
528	17226	0
529	16029	0
530	17873	0
531	18251	0
532	17060	0
533	16401	0
534	16299	0
535	18251	0
536	17876	0
537	18221	0
538	16661	0
539	16353	0
540	17502	0
541	17065	0
542	17179	0
543	17954	0
544	17334	0
545	17549	0
546	17771	0
547	17010	0
548	17258	0
549	16724	0
550	18213	0
551	16562	0
552	17654	0
553	16526	0
554	17681	0
555	17918	0
556	17128	0
557	17226	0
558	18362	0
559	16366	0
560	16733	0
561	17974	0
562	16830	0
563	17771	0
564	16889	0
565	17816	0
566	16858	0
567	18042	0
568	17666	0
569	16941	0
570	18890	0
571	16763	0
572	16725	0
573	16893	0
574	17057	0
575	17850	0
576	16974	0
577	17057	0
578	17801	0
579	17129	0
580	17666	0
581	17432	0
582	17835	0
583	16728	0
584	17597	0
585	18082	0
586	17396	0
587	16733	0
588	16926	0
589	16165	0
590	16273	0
591	17674	0
592	17427	0
593	17666	0
594	16299	0
595	18042	0
596	16332	0
597	16813	0
598	17342	0
599	17809	0
600	17057	0
601	17342	0
602	17507	0
603	17666	0
